PRES,TEMP,PSAL,PLATFORM_NUMBER,PROFILE_ID,LATITUDE,LONGITUDE,TIME
3.7,25.757,36.308,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
5.6,25.757,36.307,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
7.6,25.758,36.308,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
9.3,25.758,36.309,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
11.0,25.758,36.308,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
13.3,25.759,36.309,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
15.5,25.76,36.309,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
17.6,25.76,36.311,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
19.7,25.761,36.313,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
21.4,25.761,36.313,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
23.0,25.761,36.314,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
25.1,25.762,36.314,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
27.2,25.762,36.314,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
29.2,25.763,36.315,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
31.3,25.762,36.317,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
33.4,25.764,36.317,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
35.5,25.76,36.321,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
37.6,25.758,36.325,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
39.7,25.754,36.327,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
41.6,25.728,36.331,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
43.3,25.662,36.329,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
45.5,25.402,36.333,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
47.6,24.995,36.343,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
49.6,24.291,36.377,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
51.4,24.056,36.449,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
53.3,24.023,36.457,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
55.5,23.968,36.463,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
57.6,23.84,36.462,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
59.2,23.826,36.462,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
61.3,23.802,36.46,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
63.5,23.779,36.458,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
65.4,23.681,36.454,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
67.5,23.603,36.452,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30
69.3,23.5,36.445,1902757,0,21.03739,61.73549666666667,2025-08-01 21:55:30